City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Vila,PT,42.0304,-8.1588,63.7,50,100,1.36,overcast clouds
Bonga,ET,7.2833,36.2333,61.27,97,35,1.32,scattered clouds
Komsomolskiy,UZ,40.4272,71.7189,70.52,52,0,6.91,clear sky
Palora,EC,-1.7,-77.9333,77.11,70,37,3.42,light rain
Basqal,AZ,40.7552,48.391,46.89,93,100,1.14,light rain
Bahia De Caraquez,EC,-0.6,-80.4167,79.68,82,67,10.54,broken clouds
Ancud,CL,-41.8697,-73.8203,55.36,89,100,18.32,overcast clouds
Tessalit,ML,20.1986,1.0114,91.04,10,5,16.8,clear sky
Saint-Augustin,CA,51.226,-58.6502,40.89,45,100,15.12,overcast clouds
Laguna,US,38.421,-121.4238,72.05,41,0,8.05,clear sky
Narsaq,GL,60.9167,-46.05,53.82,74,100,2.68,overcast clouds
Luena,AO,-11.7833,19.9167,67.35,62,62,2.51,broken clouds
Waingapu,ID,-9.6567,120.2641,78.76,87,30,9.73,scattered clouds
Seoul,KR,37.5683,126.9778,60.37,39,0,8.05,clear sky
Mookane,BW,-23.688,26.6595,71.28,26,98,3.22,overcast clouds
Fangshan,CN,39.6983,115.9925,47.17,85,100,3.69,light rain
Kiama,AU,-34.6833,150.8667,56.37,63,0,11.99,clear sky
Matara,LK,5.9485,80.5353,79.65,91,100,9.69,overcast clouds
Rio Claro,BR,-22.4114,-47.5614,76.01,55,27,4.5,scattered clouds
Kango,GA,0.1943,10.0951,75.97,95,100,1.52,light rain
Santa Cruz,BO,-17.8,-63.1667,83.66,39,0,9.22,clear sky
Liverpool,GB,53.4106,-2.9779,60.15,74,20,5.75,few clouds
Kilindoni,TZ,-7.9139,39.6668,81.88,74,52,16.22,broken clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,40,0,23.02,clear sky
Katsuura,JP,35.1333,140.3,60.82,93,15,6.06,few clouds
Pokaran,IN,26.9167,71.9167,91.35,13,0,12.46,clear sky
Flinders,AU,-34.5833,150.8552,56.17,63,0,7.0,clear sky
Nelson Bay,AU,-32.7167,152.15,52.0,82,15,1.01,few clouds
Batuan,PH,9.7808,124.1484,74.37,92,76,8.05,broken clouds
Tukrah,LY,32.5341,20.5791,64.45,82,0,8.95,clear sky
Kalmunai,LK,7.4167,81.8167,82.15,80,100,2.28,overcast clouds
Patiya,BD,22.2931,91.9762,77.56,80,7,3.42,clear sky
Lake Havasu City,US,34.4839,-114.3224,97.41,15,0,14.97,clear sky
Bella Union,UY,-30.2752,-57.6007,70.63,64,99,6.62,overcast clouds
Bandarbeyla,SO,9.4942,50.8122,82.51,88,22,10.74,few clouds
Rocha,UY,-34.4833,-54.3333,71.89,56,100,1.88,overcast clouds
Antofagasta,CL,-23.65,-70.4,63.68,74,51,8.05,broken clouds
Morgan City,US,29.6994,-91.2068,88.02,50,18,10.96,few clouds
Moses Lake,US,47.1301,-119.2781,63.28,29,0,19.57,clear sky
Villa Bruzual,VE,9.3328,-69.1208,81.48,74,86,3.8,overcast clouds
Asfi,MA,32.2994,-9.2372,70.54,59,65,21.23,broken clouds
Pangody,RU,65.85,74.4859,4.75,96,11,5.75,few clouds
Lokosovo,RU,61.1333,74.8167,15.58,95,80,4.7,broken clouds
Vigrestad,NO,58.5667,5.7,43.59,61,100,26.78,overcast clouds
Port Keats,AU,-14.25,129.55,73.09,36,0,12.12,clear sky
Seydi,TM,39.4816,62.9137,88.45,19,84,9.04,broken clouds
Katsina,NG,12.9894,7.6006,92.61,25,100,2.46,overcast clouds
Nurota,UZ,40.5614,65.6886,78.33,34,0,8.14,clear sky
Fairbanks,US,64.8378,-147.7164,47.23,90,100,0.0,overcast clouds
San Felipe,VE,10.3399,-68.7425,83.95,69,74,4.32,broken clouds
Ballina,AU,-28.8667,153.5667,64.36,96,100,6.91,light rain
Kavaratti,IN,10.5669,72.642,84.76,71,50,10.51,scattered clouds
Praia Da Vitoria,PT,38.7333,-27.0667,66.76,82,75,2.26,broken clouds
Calatrava,PH,10.595,123.4838,80.74,83,16,6.2,few clouds
Port Lincoln,AU,-34.7333,135.8667,55.63,79,1,2.15,clear sky
Ruti,UG,-0.6336,30.6212,63.39,90,32,3.51,scattered clouds
Olafsvik,IS,64.8945,-23.7142,43.79,84,99,14.85,overcast clouds
Morar,IN,26.2261,78.2261,89.8,14,0,0.72,clear sky
Wuwei,CN,37.9281,102.6414,59.02,30,100,5.06,overcast clouds
Touros,BR,-5.1989,-35.4608,76.35,86,100,13.15,moderate rain
Sakakah,SA,29.9697,40.2064,67.57,21,3,4.76,clear sky
Soure,BR,-0.7167,-48.5233,82.63,74,90,9.06,overcast clouds
Hambantota,LK,6.1241,81.1185,81.16,82,100,13.67,overcast clouds
Dicabisagan,PH,17.0818,122.4157,79.14,87,85,3.49,overcast clouds
Sabang,ID,5.8933,95.3214,81.9,78,100,10.36,light rain
Sarkand,KZ,45.41,79.9186,62.06,48,4,7.56,clear sky
Landsberg,PL,52.7368,15.2288,56.3,85,100,4.14,overcast clouds
Jatai,BR,-17.8814,-51.7144,83.97,28,0,5.55,clear sky
Belyy Yar,RU,53.6039,91.3903,44.49,53,0,13.42,clear sky
Rafsanjan,IR,30.4067,55.9939,67.5,44,92,9.28,overcast clouds
Bela,IN,25.9333,81.9833,88.74,27,0,6.73,clear sky
Yulara,AU,-25.2406,130.9889,44.44,57,0,6.91,clear sky
Hobyo,SO,5.3505,48.5268,83.23,83,7,20.42,clear sky
Abalak,RU,58.1286,68.5944,41.41,91,94,7.36,overcast clouds
Darnah,LY,32.767,22.6367,67.51,61,0,17.74,clear sky
Bambous Virieux,MU,-20.3428,57.7575,77.22,83,75,5.75,light rain
Ranong,TH,9.9658,98.6348,79.41,89,100,5.55,light rain
Boa Vista,BR,2.8197,-60.6733,82.38,74,75,2.3,broken clouds
Liusha,CN,27.2098,108.59,62.8,97,98,1.57,overcast clouds
Orcopampa,PE,-15.2661,-72.3417,61.84,28,12,12.75,few clouds
Iqaluit,CA,63.7506,-68.5145,29.93,42,75,10.36,broken clouds
Marihatag,PH,8.7936,126.2969,78.55,91,100,6.02,overcast clouds
Conceicao Do Araguaia,BR,-8.2578,-49.2647,87.76,58,43,2.39,scattered clouds
Omsukchan,RU,62.5333,155.8,22.42,94,100,3.4,light snow
Buraydah,SA,26.326,43.975,79.25,17,0,10.78,clear sky
Mildura,AU,-34.2,142.15,50.07,100,100,3.44,overcast clouds
Zhigansk,RU,66.7697,123.3711,22.75,89,100,7.74,overcast clouds
Shestakovo,RU,56.4915,103.96,46.81,69,100,5.35,overcast clouds
Tambacounda,SN,13.7539,-13.7586,106.93,10,0,4.41,clear sky
Puerto Escondido,MX,15.85,-97.0667,86.83,70,40,9.22,scattered clouds
Gazli,UZ,40.1333,63.45,86.29,19,8,10.45,clear sky
Anadyr,RU,64.75,177.4833,30.7,80,0,11.18,clear sky
Simbahan,PH,6.3032,120.5836,83.28,80,100,12.86,overcast clouds
Algiers,DZ,36.7525,3.042,62.42,63,0,6.91,clear sky
Palimanan,ID,-6.7069,108.4242,78.35,85,100,2.55,overcast clouds
Owando,CG,-0.4819,15.8999,72.43,97,100,2.95,overcast clouds
Gazanjyk,TM,39.2446,55.5154,70.39,62,100,7.67,overcast clouds
Tambura,SS,5.6,27.4667,74.71,76,100,2.53,overcast clouds
Kiunga,PG,-6.1219,141.2906,74.34,99,100,0.96,overcast clouds
Bilibino,RU,68.0546,166.4372,26.28,93,100,3.06,overcast clouds
Kloulklubed,PW,7.0419,134.2556,77.5,81,100,17.25,light rain
Porosozero,RU,62.7191,32.727,48.63,73,33,13.27,light rain
Tautira,PF,-17.7333,-149.15,80.42,77,6,2.26,clear sky
Ekhabi,RU,53.5102,142.9671,28.02,90,100,3.06,overcast clouds
Okha,RU,53.5739,142.9478,28.81,89,100,3.4,overcast clouds
Padang,ID,-0.9492,100.3543,77.34,86,100,5.48,light rain
Marzuq,YE,14.4,46.4667,76.8,41,100,5.68,overcast clouds
Plettenberg Bay,ZA,-34.0527,23.3716,56.82,85,96,0.58,light rain
Plastun,RU,44.7561,136.2939,41.68,66,21,10.11,few clouds
Pathein,MM,16.7833,94.7333,80.49,78,100,2.17,overcast clouds
Quibor,VE,9.9287,-69.6201,80.58,58,98,8.55,overcast clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,87,0,6.71,clear sky
Shchigry,RU,51.8755,36.9043,46.22,70,82,7.58,broken clouds
Bisho,ZA,-32.8472,27.4422,57.52,98,100,5.35,moderate rain
Upernavik,GL,72.7868,-56.1549,18.84,74,8,7.02,clear sky
Auki,SB,-8.7676,160.7034,77.52,90,100,4.61,overcast clouds
Alofi,NU,-19.0595,-169.9187,75.09,94,75,5.75,light intensity drizzle
Mundwa,IN,27.0667,73.8167,91.18,13,0,10.18,clear sky
Ahmadpur East,PK,29.1431,71.2598,95.22,11,0,6.73,clear sky
Yaan,NG,7.3833,8.5667,85.57,60,100,12.08,overcast clouds
Kropotkin,RU,45.4375,40.5756,46.96,67,100,7.72,overcast clouds
Inirida,CO,3.8653,-67.9239,77.99,93,99,1.03,overcast clouds
Cuenca,EC,-2.8833,-78.9833,71.73,49,75,5.75,broken clouds
Ostrovnoy,RU,68.0531,39.5131,38.98,100,100,14.18,light rain
Amuntai,ID,-2.4177,115.2494,74.37,98,100,0.54,heavy intensity rain
Rumonge,BI,-3.9736,29.4386,71.01,83,90,5.84,overcast clouds
Esna,EG,25.2934,32.554,82.42,9,8,9.42,clear sky
Riyadh,SA,24.6877,46.7219,80.74,18,0,15.75,clear sky
Richards Bay,ZA,-28.783,32.0377,68.09,90,3,2.48,clear sky
Skegness,GB,53.1436,0.3363,53.67,87,9,12.88,clear sky
Poronaysk,RU,49.2167,143.1167,32.36,99,100,19.15,snow
Baykit,RU,61.67,96.37,29.3,88,100,12.24,overcast clouds
Kikwit,CD,-5.041,18.8162,72.48,94,100,2.8,light rain
Altamont,US,42.2068,-121.7372,48.76,77,75,18.41,broken clouds
Nendaz,CH,46.1833,7.3,49.98,94,90,3.33,overcast clouds
Kommunar,RU,59.6206,30.39,52.36,81,100,4.07,overcast clouds
Port Blair,IN,11.6667,92.75,80.64,83,75,8.05,light intensity drizzle
Westport,US,41.1415,-73.3579,53.15,81,100,7.0,moderate rain
Pangoa,PE,-12.1167,-73.0,82.11,55,83,3.09,broken clouds
Pahrump,US,36.2083,-115.9839,83.5,19,14,11.99,few clouds
Mount Pleasant,US,32.7941,-79.8626,78.01,49,75,17.27,broken clouds
Mahon,ES,39.8885,4.2658,63.16,63,20,4.61,few clouds
Galesong,ID,-5.3166,119.3661,77.02,85,59,4.88,broken clouds
Muskogee,US,35.5834,-95.3336,81.75,59,0,9.22,clear sky
Severnyy,RU,50.677,36.5532,53.64,32,0,4.47,clear sky
Shabrovskiy,RU,56.636,60.5807,38.01,65,0,4.47,clear sky
Berlevag,NO,70.8578,29.0864,37.35,81,100,26.46,overcast clouds
Kama,RU,56.3051,54.0936,46.9,69,55,5.3,broken clouds
Sinnamary,GF,5.3833,-52.95,80.89,83,99,10.56,overcast clouds
Tabuk,PH,17.4189,121.4443,75.07,90,99,3.49,overcast clouds
Freeport,US,40.6576,-73.5832,49.01,82,100,23.02,moderate rain
Humaita,BR,-7.5061,-63.0208,78.66,93,100,2.53,overcast clouds
Verkhnyaya Inta,RU,65.9811,60.3094,36.41,96,100,8.63,overcast clouds
Ayan,RU,56.45,138.1667,33.58,76,8,10.45,clear sky
Ardesen,TR,41.1911,40.9875,53.08,86,100,7.02,overcast clouds
Gotsu,JP,35.0,132.2167,56.91,77,100,11.14,overcast clouds
Newcastle,AU,-32.9272,151.7765,51.71,74,0,13.8,clear sky
Ptichye,RU,45.5168,41.7115,47.84,81,100,6.49,overcast clouds
Port-Cartier,CA,50.0334,-66.8654,43.75,56,97,2.62,overcast clouds
Boguchany,RU,58.3814,97.4531,35.74,58,61,14.76,broken clouds
Frontera,MX,26.9333,-101.45,103.75,31,20,5.75,few clouds
Sorong,ID,-0.8833,131.25,79.9,84,14,3.85,few clouds
Shatrovo,RU,56.5167,64.6333,44.65,64,17,8.93,few clouds
Nyurba,RU,63.2842,118.3319,34.75,91,100,6.4,overcast clouds
Emerald,AU,-23.5333,148.1667,57.34,88,100,9.22,overcast clouds
Kapoeta,SS,4.7717,33.5903,82.54,50,18,7.0,few clouds
Pampa,US,35.5362,-100.9599,96.57,33,0,19.57,clear sky
Valparaiso,CL,-33.0393,-71.6273,55.63,88,100,4.61,fog
Erdenet,MN,49.0333,104.0833,44.04,67,0,6.11,clear sky
Sorland,NO,67.667,12.6934,37.65,56,99,24.56,overcast clouds
Galle,LK,6.0367,80.217,81.84,88,99,10.98,overcast clouds
Sao Desiderio,BR,-12.3633,-44.9733,92.7,28,5,8.86,clear sky
Zhoucun,CN,36.8167,117.8167,51.98,24,100,4.41,overcast clouds
Acapulco,MX,16.8634,-99.8901,84.02,70,100,10.36,overcast clouds
Mamonovo,RU,54.4643,19.938,49.55,90,99,4.07,overcast clouds
Brainerd,US,46.358,-94.2008,73.42,28,0,24.16,clear sky
Bay-Khaak,RU,51.1667,94.5,52.97,51,0,5.66,clear sky
Teluknaga,ID,-6.0989,106.6381,80.64,88,20,9.22,light rain
Pochutla,MX,15.7432,-96.4661,93.81,32,96,7.87,overcast clouds
Prince Albert,CA,53.2001,-105.7677,53.55,47,100,3.44,light rain
Rosetta,EG,31.4044,30.4164,64.83,69,99,6.89,overcast clouds
Manado,ID,1.487,124.8455,77.77,100,40,2.3,scattered clouds
Inongo,CD,-1.95,18.2667,73.18,91,100,5.06,overcast clouds
Shakawe,BW,-18.3667,21.85,67.46,32,1,1.74,clear sky
Korla,CN,41.7597,86.1469,73.83,34,78,7.45,broken clouds
Gourcy,BF,13.2167,-2.35,92.03,31,77,14.47,broken clouds
Fare,PF,-16.7,-151.0167,81.3,75,3,6.11,clear sky
Dunedin,NZ,-45.8742,170.5036,61.81,57,100,3.94,light rain
Innisfail,AU,-17.5333,146.0333,74.53,93,98,3.18,overcast clouds
Taltal,CL,-25.4,-70.4833,61.43,81,59,3.94,broken clouds
Ambon,ID,-3.6954,128.1814,75.34,94,40,5.75,light rain
Ponnani,IN,10.767,75.9252,74.52,80,100,6.02,light rain
Adeje,ES,28.1227,-16.726,70.56,70,0,16.11,clear sky
Kampot,KH,10.6167,104.1833,78.44,90,100,4.7,overcast clouds
Kerman,IR,30.2832,57.0788,64.26,45,20,13.8,few clouds
Adilcevaz,TR,38.8039,42.7342,45.07,81,100,10.27,light rain
Mokobeng,BW,-22.9965,27.6678,70.83,25,100,2.19,overcast clouds
Kadarkut,HU,46.2362,17.6201,57.02,76,100,2.77,overcast clouds
Kuytun,RU,54.3419,101.5036,42.78,72,100,14.03,overcast clouds
Biltine,TD,14.5333,20.9167,92.17,10,51,9.15,broken clouds
Armidale,AU,-30.5167,151.65,37.36,58,100,0.92,overcast clouds
Maniitsoq,GL,65.4167,-52.9,32.88,73,8,11.21,clear sky
Zhicheng,CN,30.2956,111.5047,66.11,79,24,4.05,few clouds
Kattivakkam,IN,13.2167,80.3167,87.89,89,100,6.62,overcast clouds
Panzhihua,CN,26.5851,101.7128,65.84,82,47,1.66,scattered clouds
Ulcinj,ME,41.9294,19.2244,66.42,84,100,8.37,overcast clouds
Funadhoo,MV,6.15,73.2667,84.7,75,96,13.02,overcast clouds
Liberal,US,37.0431,-100.921,87.04,47,0,19.57,clear sky
Vryburg,ZA,-26.9566,24.7284,60.03,44,38,4.03,scattered clouds
Vesyegonsk,RU,58.664,37.2604,51.84,74,58,10.27,broken clouds
Miri,MY,4.4148,114.0089,78.94,94,40,2.3,light rain
Xuanhua,CN,40.6103,115.0447,43.88,87,100,5.84,moderate rain
Hurghada,EG,27.2574,33.8129,77.04,44,0,5.75,clear sky
Najran,SA,17.4924,44.1277,83.05,39,39,9.28,scattered clouds
Ovsyanka,RU,55.9575,92.5519,40.23,54,72,13.4,broken clouds
Rawah,IQ,34.4816,41.9093,67.39,31,2,6.2,clear sky
Kamenka,RU,51.3223,42.7678,44.33,53,0,7.38,clear sky
Mareeba,AU,-17.0,145.4333,72.32,93,99,2.91,overcast clouds
Newry,GB,54.1784,-6.3374,54.1,76,100,4.81,overcast clouds
Aripuana,BR,-9.1667,-60.6333,82.17,74,98,1.72,overcast clouds
Robinson,US,31.4677,-97.1147,92.01,62,0,13.8,clear sky
Zharkovskiy,RU,55.849,32.2697,48.78,93,76,8.63,broken clouds
Cam Ranh,VN,11.9214,109.1591,78.76,83,40,3.44,scattered clouds
Foz,ES,43.5692,-7.2544,55.22,96,100,3.67,overcast clouds
Tyrma,RU,50.0833,132.1667,30.33,86,8,3.02,clear sky
Byron Bay,AU,-28.65,153.6167,64.29,90,99,10.07,moderate rain
Sendhwa,IN,21.6833,75.1,90.63,19,7,6.11,clear sky
Haines Junction,CA,60.7522,-137.5108,35.55,87,100,2.3,overcast clouds
Roma,US,43.2128,-75.4557,62.74,21,0,8.05,clear sky
Mgandu,TZ,-5.95,34.1333,64.17,71,50,5.66,scattered clouds
Dangriga,BZ,16.9692,-88.2321,84.43,78,100,11.14,overcast clouds
Tezu,IN,27.9167,96.1667,72.54,78,48,4.61,scattered clouds
Aginskoye,RU,51.1,114.53,45.86,56,14,7.45,few clouds
Lang Suan,TH,9.9456,99.0785,79.56,89,100,6.85,light rain
Aklavik,CA,68.2191,-135.0107,39.2,56,20,9.22,few clouds
Moga,IN,30.8,75.1667,89.2,16,0,4.74,clear sky
Lujiang,CN,31.2581,117.2817,63.9,87,99,9.84,overcast clouds
Baiyin,CN,36.5583,104.2081,59.94,23,100,14.23,overcast clouds
Hofn,IS,64.2539,-15.2082,44.1,77,10,11.74,clear sky
Floriano,BR,-6.7669,-43.0225,89.42,45,70,2.62,broken clouds
Jacmel,HT,18.2342,-72.5347,87.64,71,0,8.79,clear sky
Sulangan,PH,11.1373,123.7228,82.71,77,13,13.71,few clouds
Khislavichi,RU,54.1871,32.1582,50.61,79,98,10.83,overcast clouds
Conceicao Do Rio Verde,BR,-21.8808,-45.0853,70.52,70,0,2.24,clear sky
Lukovetskiy,RU,64.2956,41.9211,47.32,86,13,10.49,few clouds
Parauna,BR,-16.9478,-50.4486,82.83,49,2,6.24,clear sky
Isangel,VU,-19.55,169.2667,74.98,64,15,17.63,few clouds
Olinda,BR,-8.0089,-34.8553,78.53,83,75,4.61,broken clouds
Hanna,CA,51.6334,-111.9018,53.85,41,94,5.01,overcast clouds
Pangkalanbuun,ID,-2.6833,111.6167,74.7,98,100,1.36,overcast clouds
Valverde Del Camino,ES,37.5751,-6.7543,68.04,51,67,3.87,broken clouds
Strezhevoy,RU,60.7333,77.5889,19.13,91,7,6.31,clear sky
Mudkhed,IN,19.1667,77.5167,92.35,23,51,2.53,broken clouds
Myitkyina,MM,25.3833,97.4,73.49,70,9,1.25,clear sky
Darlowo,PL,54.421,16.4107,48.47,89,30,8.3,scattered clouds
Irituia,BR,-1.7711,-47.4381,79.86,94,46,3.2,moderate rain
Manggar,ID,-2.8833,108.2667,80.83,82,91,5.39,overcast clouds
Talara,PE,-4.5772,-81.2719,79.56,61,0,19.57,clear sky
Tighnabruaich,GB,55.9016,-5.2398,51.71,82,94,2.1,overcast clouds
Goba,ET,7.0167,39.9833,51.35,72,71,5.91,broken clouds
Maragogi,BR,-9.0122,-35.2225,77.68,83,44,7.02,scattered clouds
Verkhoyansk,RU,67.5447,133.385,11.95,90,93,2.44,overcast clouds
Kabo,CF,7.6994,18.629,78.42,62,89,3.53,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,76.95,73,20,14.97,few clouds
Salinopolis,BR,-0.6136,-47.3561,80.02,86,84,7.09,broken clouds
Komsomolets,KZ,53.7453,62.0708,45.75,34,0,5.7,clear sky
Tierralta,CO,8.1736,-76.0592,88.41,63,30,5.73,scattered clouds
Kalemie,CD,-5.9475,29.1947,71.83,80,90,2.62,overcast clouds
Ahipara,NZ,-35.1667,173.1667,56.86,84,28,3.6,scattered clouds
Miranda De Ebro,ES,42.6865,-2.947,59.45,83,4,4.0,clear sky
Tahoua,NE,14.8888,5.2692,95.13,13,100,9.17,overcast clouds
Calama,CL,-22.4667,-68.9333,64.89,25,40,25.32,scattered clouds
Warri,NG,5.5167,5.75,77.9,93,79,4.21,broken clouds
Bonoua,CI,5.2741,-3.595,82.02,82,99,4.88,overcast clouds
Ossora,RU,59.2353,163.0719,36.28,68,91,27.56,overcast clouds
Molchanovo,RU,57.5817,83.7692,28.58,63,100,11.54,overcast clouds
Gandajika,CD,-6.75,23.95,72.54,74,65,3.76,broken clouds
Kushiro,JP,42.975,144.3747,44.15,97,100,16.6,moderate rain
Beysehir,TR,37.6773,31.7246,44.26,67,8,3.94,clear sky
Makakilo City,US,21.3469,-158.0858,75.56,65,100,11.5,overcast clouds
Alamosa,US,37.4695,-105.87,75.18,12,0,16.11,clear sky
Evensk,RU,61.95,159.2333,31.26,98,100,15.08,light snow
Waseca,US,44.0777,-93.5074,72.09,32,2,18.3,clear sky
Sumbe,AO,-11.2061,13.8437,76.91,84,80,3.27,broken clouds
Cabedelo,BR,-6.9811,-34.8339,81.27,79,100,9.48,overcast clouds
Henties Bay,NA,-22.116,14.2845,58.05,86,0,12.8,clear sky
Chenghai,CN,23.4632,116.768,71.51,100,20,4.47,mist
Callaway,US,30.153,-85.5699,82.45,58,20,17.27,few clouds
Sao Raimundo Nonato,BR,-9.0153,-42.6994,90.12,24,1,6.62,clear sky
Konevo,RU,62.1215,39.3192,50.58,82,87,10.8,overcast clouds
Fremont,US,37.5483,-121.9886,71.96,55,40,17.27,scattered clouds
Cabo San Lucas,MX,22.8909,-109.9124,88.9,26,0,3.44,clear sky
Houma,US,29.5958,-90.7195,89.02,63,40,9.22,scattered clouds
Bonthe,SL,7.5264,-12.505,81.57,81,79,9.24,broken clouds
Lloro,CO,5.4961,-76.5495,89.55,52,99,2.28,overcast clouds
Methoni,GR,36.8197,21.7049,64.26,74,95,8.19,overcast clouds
Sobolevo,RU,54.4299,31.8996,49.84,84,99,10.67,overcast clouds
Zharkent,KZ,44.1628,80.0,65.89,61,21,3.8,few clouds
Nhulunbuy,AU,-12.2333,136.7667,81.21,78,75,11.5,broken clouds
Abadan,IR,30.3392,48.3043,82.35,24,0,13.8,dust
San Patricio,US,28.017,-97.5169,97.52,38,0,14.88,clear sky
Kualakapuas,ID,-3.0091,114.3876,74.82,98,85,2.33,moderate rain
Hirara,JP,24.8,125.2833,77.79,81,63,3.04,broken clouds
Lecce,IT,40.2167,18.1667,63.36,82,40,8.05,scattered clouds
Kyzyl,RU,51.7,94.45,50.76,63,93,13.65,overcast clouds
Novyy Urengoy,RU,66.0833,76.6333,1.92,99,57,6.22,broken clouds
Barberton,ZA,-25.7884,31.0532,63.7,45,83,0.74,broken clouds
Laibin,CN,23.7,109.2667,72.81,91,98,2.51,overcast clouds
Pasighat,IN,28.0667,95.3333,73.9,75,33,3.69,scattered clouds
Boden,SE,65.8252,21.6886,42.8,62,98,7.49,overcast clouds
Mercedes,AR,-34.6515,-59.4307,76.86,45,42,8.48,scattered clouds
Mecca,SA,21.4267,39.8261,78.22,46,0,8.43,clear sky
Florence,IT,43.7667,11.25,63.54,72,40,10.36,scattered clouds
Esso,RU,55.9333,158.7,34.43,85,40,4.65,scattered clouds
Ibirite,BR,-20.0219,-44.0589,79.56,53,40,6.91,scattered clouds
Kachug,RU,53.9606,105.8817,45.57,63,24,1.07,few clouds
Araouane,ML,18.9048,-3.5265,92.64,11,0,11.88,clear sky
Lapua,FI,62.9693,23.0088,43.48,58,17,8.5,few clouds
Igarka,RU,67.4667,86.5833,10.53,87,41,22.75,scattered clouds
Dzhebariki-Khaya,RU,62.2167,135.8,32.61,95,100,1.7,overcast clouds
